iter	MultiClass
0	4.286927872
1	4.2833414
2	4.279640115
3	4.276111074
4	4.272254033
5	4.268716711
6	4.26500869
7	4.261038577
8	4.257491306
9	4.254030117
10	4.250212048
11	4.24653507
12	4.242783957
13	4.239209288
14	4.235654386
15	4.232067695
16	4.228392227
17	4.224953147
18	4.221376125
19	4.217445608
20	4.213649015
21	4.210213592
22	4.206252241
23	4.202359907
24	4.198797718
25	4.195380766
26	4.191765187
27	4.188374377
28	4.184862726
29	4.181433491
30	4.177724066
31	4.174211428
32	4.170722325
33	4.167092999
34	4.163753618
35	4.160167577
36	4.156448447
37	4.15303208
38	4.149138935
39	4.145432789
40	4.142033275
41	4.138559285
42	4.134963158
43	4.131166711
44	4.127748626
45	4.124045906
46	4.120457023
47	4.117088841
48	4.113651065
49	4.110149003
50	4.106500822
51	4.102965937
52	4.099526073
