iter	Passed	Remaining
0	514	50929
1	886	43420
2	1270	41071
3	1583	38015
4	1965	37335
5	2474	38772
6	2801	37219
7	2859	32888
8	3204	32398
9	3535	31816
10	3873	31337
11	4195	30769
12	4509	30178
13	4807	29529
14	5117	29001
15	5429	28506
16	5715	27905
17	6057	27593
18	6366	27143
19	6705	26820
20	7002	26341
21	7339	26023
22	7646	25598
23	7959	25205
24	8388	25165
25	8806	25064
26	9131	24688
27	9470	24353
28	9926	24302
29	10269	23961
30	10587	23564
31	10911	23187
32	11213	22767
33	11536	22393
34	11870	22045
35	12194	21679
36	12509	21299
37	12858	20979
38	13224	20684
39	13658	20487
40	13944	20066
41	14232	19654
42	14549	19286
43	14920	18989
44	15241	18628
45	15540	18242
46	15869	17895
47	16180	17528
48	16505	17179
49	16828	16828
50	17120	16448
51	17434	16093
52	17730	15722
