iter	Passed	Remaining
0	2	2896
1	5	2904
2	7	2651
3	9	2342
4	10	2137
5	12	2035
6	13	1952
7	15	1876
8	16	1819
9	17	1774
10	21	1921
11	23	1951
12	26	1985
13	27	1967
14	29	1946
15	33	2063
16	35	2067
17	37	2043
18	39	2015
19	40	1980
20	41	1946
21	48	2177
22	61	2594
23	65	2682
24	72	2823
25	75	2822
26	78	2821
27	80	2783
28	82	2748
29	83	2713
30	86	2688
31	88	2664
32	91	2695
33	94	2674
34	95	2644
35	97	2618
36	113	2961
37	117	2970
38	123	3042
39	126	3046
40	129	3019
41	130	2985
42	132	2955
43	134	2926
44	138	2949
45	140	2920
46	142	2890
47	145	2877
48	164	3199
49	168	3199
50	170	3171
51	172	3138
52	173	3104
53	175	3070
54	177	3046
55	184	3106
56	190	3152
57	193	3135
58	195	3120
59	197	3094
60	199	3068
61	203	3077
62	204	3047
63	206	3021
64	208	2998
65	211	2995
66	213	2969
67	215	2960
68	217	2933
69	218	2908
70	220	2884
71	221	2861
72	223	2835
73	224	2812
74	226	2790
75	227	2770
76	230	2760
77	235	2780
78	236	2759
79	238	2740
80	240	2723
81	241	2704
82	242	2677
83	244	2668
84	247	2669
85	249	2650
86	250	2630
87	252	2612
88	253	2593
89	254	2575
90	256	2558
91	257	2542
92	259	2534
93	262	2526
94	263	2511
95	264	2492
96	265	2474
97	267	2457
98	268	2442
99	269	2428
100	271	2412
101	273	2406
102	276	2406
103	278	2399
104	279	2386
105	281	2377
106	284	2371
107	286	2362
108	287	2353
109	290	2349
110	291	2337
111	293	2326
112	294	2315
113	296	2306
114	298	2294
115	299	2286
116	301	2272
117	302	2261
118	307	2273
119	308	2263
120	310	2253
121	311	2240
122	313	2232
123	315	2228
124	317	2220
125	321	2227
126	322	2217
127	324	2209
128	327	2208
129	329	2205
130	331	2199
131	333	2192
132	335	2186
133	336	2177
134	338	2167
135	339	2157
136	341	2148
137	342	2139
138	343	2130
139	346	2129
140	348	2121
141	349	2109
142	350	2099
143	352	2092
144	353	2084
145	354	2075
146	356	2066
147	357	2058
148	358	2049
149	363	2062
150	365	2055
151	367	2048
152	369	2045
153	370	2036
154	372	2028
155	373	2019
156	374	2011
157	377	2012
158	379	2006
159	380	1999
160	382	1992
161	383	1984
162	385	1978
163	386	1971
164	388	1966
165	390	1960
166	392	1955
167	393	1948
168	395	1946
169	396	1937
170	398	1929
171	399	1922
172	400	1916
173	402	1909
174	403	1902
175	406	1902
176	407	1895
177	408	1888
178	410	1880
179	411	1873
180	412	1866
181	413	1859
182	414	1852
183	416	1844
184	417	1837
185	418	1832
186	420	1829
187	422	1823
188	423	1817
189	426	1817
190	427	1811
191	429	1805
192	430	1799
193	431	1792
194	432	1785
195	435	1785
196	436	1780
197	438	1774
198	439	1768
199	440	1762
200	442	1757
201	443	1752
202	445	1747
203	446	1742
204	448	1737
205	451	1741
206	453	1735
207	454	1730
208	455	1724
209	456	1718
210	458	1712
211	459	1707
212	460	1701
213	461	1696
214	463	1690
215	466	1692
216	467	1687
217	469	1682
218	470	1677
219	472	1673
220	473	1669
221	475	1665
222	476	1661
223	481	1666
224	483	1665
225	486	1665
226	490	1670
227	508	1722
228	518	1747
229	520	1742
230	521	1736
231	523	1731
232	524	1727
233	528	1728
234	529	1724
235	531	1720
236	533	1717
237	534	1712
238	536	1707
239	537	1702
240	539	1697
241	543	1701
242	545	1698
243	547	1696
244	549	1691
245	550	1688
246	552	1684
247	554	1680
248	559	1687
249	562	1687
250	564	1683
251	566	1680
252	568	1677
253	571	1677
254	573	1675
255	576	1676
256	579	1675
257	581	1672
258	584	1673
259	589	1678
260	592	1677
261	594	1674
262	596	1671
263	598	1669
264	610	1692
265	612	1690
266	618	1698
267	625	1709
268	627	1705
269	629	1700
270	635	1710
271	638	1708
272	640	1706
273	642	1701
274	643	1697
275	646	1695
276	650	1697
277	652	1694
278	654	1691
279	656	1688
280	657	1683
281	659	1678
282	661	1677
283	664	1675
284	666	1671
285	667	1667
286	669	1662
287	670	1658
288	671	1653
289	673	1647
290	674	1642
291	676	1640
292	679	1639
293	680	1634
294	681	1629
295	683	1626
296	685	1621
297	686	1616
298	687	1612
299	689	1607
300	691	1604
301	693	1602
302	695	1598
303	696	1594
304	697	1590
305	699	1585
306	700	1581
307	701	1576
308	703	1572
309	704	1569
310	707	1567
311	709	1563
312	710	1559
313	711	1555
314	713	1550
315	714	1546
316	715	1541
317	716	1536
318	717	1532
319	719	1529
320	722	1527
321	723	1524
322	725	1520
323	727	1517
324	729	1514
325	731	1511
326	733	1508
327	735	1506
328	738	1505
329	740	1502
330	741	1499
331	743	1496
332	745	1493
333	747	1490
334	749	1488
335	752	1486
336	754	1484
337	756	1481
338	758	1478
339	760	1475
340	761	1472
341	763	1469
342	766	1468
343	769	1466
344	770	1462
345	772	1459
346	773	1456
347	775	1453
348	777	1449
349	779	1446
350	781	1445
351	784	1443
352	785	1440
353	787	1437
354	789	1434
355	791	1430
356	792	1428
357	795	1426
358	797	1424
359	799	1421
360	801	1418
361	802	1415
362	805	1413
363	807	1410
364	809	1407
365	813	1409
